Date,Station,AWND,PRCP,SNOW,TMAX,TMIN
20170101,DFW,26,18,0,189,61
20170101,ORD,22,0,0,44,-82
20170101,SFO,69,13,0,122,78
20170101,DEN,38,0,0,83,-88
20170102,DFW,43,127,0,228,122
20170102,ORD,28,28,0,44,-38
20170102,SFO,33,46,0,111,67
20170102,DEN,56,0,0,111,-93
20170103,DFW,71,0,0,161,39
20170103,ORD,45,0,0,39,-71
20170103,SFO,73,163,0,150,89
20170103,DEN,37,0,0,0,-121
20170104,DFW,38,0,0,44,0
20170104,ORD,76,0,0,-71,-138
20170104,SFO,48,124,0,150,83
20170104,DEN,39,25,38,-110,-155
20170105,DFW,62,0,0,44,-32
20170105,ORD,57,0,0,-105,-160
20170105,SFO,38,0,0,106,50
20170105,DEN,22,61,66,-149,-188
20170106,DFW,73,3,3,-27,-71
20170106,ORD,45,0,0,-127,-177
20170106,SFO,34,0,0,94,33
20170106,DEN,40,0,0,-66,-216
20170107,DFW,26,0,0,44,-99
20170107,ORD,48,0,0,-77,-177
20170107,SFO,58,213,0,167,67
20170107,DEN,31,0,0,-32,-166
20170108,DFW,46,0,0,94,-66
20170108,ORD,43,0,0,-71,-166
20170108,SFO,111,325,0,178,122
20170108,DEN,43,0,0,89,-110
20170109,DFW,83,0,0,206,22
20170109,ORD,58,5,5,6,-71
20170109,SFO,53,69,0,150,117
20170109,DEN,63,0,0,167,-5
20170110,DFW,60,0,0,261,139
20170110,ORD,104,51,0,106,-38
20170110,SFO,98,462,0,156,133
20170110,DEN,65,0,0,111,0
20170111,DFW,94,0,0,267,133
20170111,ORD,54,84,0,61,-38
20170111,SFO,50,10,0,144,100
20170111,DEN,56,0,0,133,-60
20170112,DFW,62,0,0,256,78
20170112,ORD,50,13,5,-21,-71
20170112,SFO,28,76,0,111,72
20170112,DEN,49,0,0,44,-77
20170113,DFW,48,51,0,94,50
20170113,ORD,40,0,0,-27,-88
20170113,SFO,21,0,0,139,44
20170113,DEN,17,0,0,39,-77
20170114,DFW,41,3,0,67,39
20170114,ORD,21,0,0,17,-60
20170114,SFO,22,0,0,144,44
20170114,DEN,26,0,0,56,-55
20170115,DFW,36,803,0,189,61
20170115,ORD,10,0,0,22,-66
20170115,SFO,12,0,0,111,50
20170115,DEN,26,0,0,17,-55
20170116,DFW,30,3,0,189,89
20170116,ORD,26,229,0,28,-10
20170116,SFO,35,0,0,122,67
20170116,DEN,47,51,56,17,-27
20170117,DFW,34,74,0,106,61
20170117,ORD,43,122,0,39,17
20170117,SFO,18,0,0,111,50
20170117,DEN,34,0,0,78,-82
20170118,DFW,32,30,0,122,89
20170118,ORD,43,0,0,22,-10
20170118,SFO,57,229,0,128,94
20170118,DEN,38,0,0,111,-60
20170119,DFW,53,0,0,194,89
20170119,ORD,30,117,0,56,-10
20170119,SFO,52,13,0,144,106
20170119,DEN,38,0,0,122,-55
20170120,DFW,55,0,0,256,83
20170120,ORD,26,46,0,61,33
20170120,SFO,58,302,0,133,61
20170120,DEN,34,0,0,72,-32
20170121,DFW,41,5,0,228,89
20170121,ORD,38,0,0,150,44
20170121,SFO,57,71,0,133,89
20170121,DEN,29,0,0,56,-71
20170122,DFW,83,0,0,189,89
20170122,ORD,24,3,0,78,33
20170122,SFO,52,173,0,139,83
20170122,DEN,35,0,0,83,-32
20170123,DFW,34,0,0,200,50
20170123,ORD,42,0,0,56,22
20170123,SFO,24,81,0,122,72
20170123,DEN,40,0,0,122,-49
20170124,DFW,47,0,0,267,72
20170124,ORD,32,0,0,33,11
20170124,SFO,23,0,0,122,50
20170124,DEN,47,0,0,0,-82
20170125,DFW,57,0,0,178,56
20170125,ORD,51,23,0,56,11
20170125,SFO,24,0,0,133,50
20170125,DEN,32,0,0,-10,-121
20170126,DFW,38,0,0,117,6
20170126,ORD,60,0,0,11,-10
20170126,SFO,17,0,0,133,61
20170126,DEN,38,0,0,-5,-132
20170127,DFW,43,0,0,139,6
20170127,ORD,66,0,0,-5,-43
20170127,SFO,22,0,0,144,50
20170127,DEN,44,0,0,44,-116
20170128,DFW,57,0,0,144,33
20170128,ORD,52,0,0,-16,-43
20170128,SFO,15,0,0,150,50
20170128,DEN,34,0,0,100,-82
20170129,DFW,62,0,0,206,56
20170129,ORD,47,0,3,-21,-60
20170129,SFO,14,0,0,156,50
20170129,DEN,49,0,0,161,-21
20170130,DFW,31,0,0,256,50
20170130,ORD,45,3,3,28,-93
20170130,SFO,10,0,0,156,56
20170130,DEN,64,0,0,172,6
20170131,DFW,63,0,0,267,56
20170131,ORD,70,8,0,39,17
20170131,SFO,5,0,0,150,56
20170131,DEN,41,0,0,161,-5
20170201,DFW,55,0,0,267,117
20170201,ORD,55,0,0,33,-60
20170201,SFO,26,3,0,133,83
20170201,DEN,40,0,0,-5,-66
20170202,DFW,65,0,0,128,61
20170202,ORD,60,0,0,-43,-99
20170202,SFO,46,38,0,167,106
20170202,DEN,29,0,0,-32,-82
20170203,DFW,44,0,0,122,50
20170203,ORD,47,0,0,-21,-99
20170203,SFO,65,112,0,161,128
20170203,DEN,42,0,0,33,-88
20170204,DFW,52,0,0,117,78
20170204,ORD,56,0,0,6,-121
20170204,SFO,38,46,0,161,117
20170204,DEN,59,0,0,156,-16
20170205,DFW,46,0,0,256,100
20170205,ORD,39,0,0,33,-43
20170205,SFO,51,41,0,161,100
20170205,DEN,43,0,0,144,-16
20170206,DFW,83,0,0,278,178
20170206,ORD,31,0,0,128,-60
20170206,SFO,56,124,0,156,128
20170206,DEN,66,0,0,161,28
20170207,DFW,48,0,0,267,150
20170207,ORD,47,119,0,100,0
20170207,SFO,72,236,0,172,133
20170207,DEN,38,0,0,167,0
20170208,DFW,75,0,0,206,72
20170208,ORD,50,0,0,0,-71
20170208,SFO,53,66,0,178,133
20170208,DEN,88,0,0,144,33
20170209,DFW,41,0,0,161,22
20170209,ORD,52,0,0,-38,-105
20170209,SFO,62,163,0,172,144
20170209,DEN,53,0,0,200,-5
20170210,DFW,74,0,0,250,78
20170210,ORD,61,0,0,50,-77
20170210,SFO,42,30,0,167,106
20170210,DEN,59,0,0,267,44
20170211,DFW,78,0,0,311,172
20170211,ORD,30,0,0,94,11
20170211,SFO,42,0,0,150,83
20170211,DEN,51,0,0,133,6
20170212,DFW,81,0,0,228,156
20170212,ORD,71,0,0,83,-5
20170212,SFO,27,0,0,178,67
20170212,DEN,38,0,0,94,-16
20170213,DFW,55,81,0,189,83
20170213,ORD,46,0,0,67,-38
20170213,SFO,26,0,0,172,78
20170213,DEN,38,0,0,89,-21
20170214,DFW,76,302,0,94,61
20170214,ORD,63,0,0,100,-5
20170214,SFO,19,0,0,189,89
20170214,DEN,36,0,0,94,-43
20170215,DFW,50,0,0,161,56
20170215,ORD,50,0,0,17,-32
20170215,SFO,31,0,0,172,106
20170215,DEN,43,0,0,194,-27
20170216,DFW,38,0,0,200,28
20170216,ORD,40,0,0,50,-10
20170216,SFO,51,94,0,178,128
20170216,DEN,51,0,0,239,39
20170217,DFW,60,0,0,217,78
20170217,ORD,36,0,0,194,-27
20170217,SFO,52,218,0,150,122
20170217,DEN,50,0,0,189,-38
20170218,DFW,40,0,0,278,150
20170218,ORD,31,0,0,211,44
20170218,SFO,76,48,0,139,100
20170218,DEN,50,0,0,194,-16
20170219,DFW,56,0,0,250,144
20170219,ORD,17,0,0,206,17
20170219,SFO,54,23,0,144,100
20170219,DEN,56,0,0,178,17
20170220,DFW,47,130,0,217,133
20170220,ORD,55,0,0,211,50
20170220,SFO,72,549,0,156,122
20170220,DEN,44,0,0,172,-43
20170221,DFW,52,0,0,250,106
20170221,ORD,29,10,0,189,94
20170221,SFO,53,74,0,161,100
20170221,DEN,66,0,0,228,39
20170222,DFW,32,0,0,300,83
20170222,ORD,53,0,0,200,100
20170222,SFO,62,0,0,128,72
20170222,DEN,63,0,0,139,-10
20170223,DFW,68,0,0,311,128
20170223,ORD,56,53,0,150,33
20170223,SFO,50,0,0,117,56
20170223,DEN,53,41,33,6,-77
20170224,DFW,73,0,0,217,83
20170224,ORD,56,38,0,44,6
20170224,SFO,29,0,0,122,44
20170224,DEN,30,13,8,-32,-82
20170225,DFW,37,0,0,128,17
20170225,ORD,62,0,0,6,-49
20170225,SFO,26,5,0,133,67
20170225,DEN,43,0,0,33,-93
20170226,DFW,45,79,0,172,44
20170226,ORD,62,0,0,94,-60
20170226,SFO,39,5,0,139,44
20170226,DEN,35,0,0,56,-116
20170227,DFW,48,0,0,267,150
20170227,ORD,33,0,0,122,-27
20170227,SFO,38,13,0,128,56
20170227,DEN,63,0,0,144,-99
20170228,DFW,74,0,0,283,206
20170228,ORD,61,165,0,156,83
20170228,SFO,42,0,0,139,61
20170228,DEN,46,5,0,17,-66
20170301,DFW,69,0,0,228,83
20170301,ORD,63,30,0,122,0
20170301,SFO,30,0,0,167,61
20170301,DEN,58,0,0,89,-99
20170302,DFW,21,0,0,194,44
20170302,ORD,49,0,0,17,-27
20170302,SFO,30,0,0,189,61
20170302,DEN,29,0,0,117,-71
20170303,DFW,35,0,0,222,56
20170303,ORD,46,0,0,6,-60
20170303,SFO,46,0,0,167,67
20170303,DEN,51,0,0,178,-38
20170304,DFW,59,10,0,167,100
20170304,ORD,65,3,3,56,-21
20170304,SFO,51,137,0,161,106
20170304,DEN,45,0,0,217,0
20170305,DFW,47,36,0,189,117
20170305,ORD,65,0,0,156,0
20170305,SFO,72,74,0,117,56
20170305,DEN,64,0,0,206,56
20170306,DFW,98,0,0,289,189
20170306,ORD,94,0,0,183,111
20170306,SFO,30,71,0,133,61
20170306,DEN,108,0,0,117,-43
20170307,DFW,60,0,0,228,111
20170307,ORD,86,61,0,183,67
20170307,SFO,22,0,0,150,56
20170307,DEN,82,0,0,117,-77
20170308,DFW,38,0,0,256,72
20170308,ORD,99,0,0,117,44
20170308,SFO,36,0,0,178,78
20170308,DEN,50,0,0,194,-60
20170309,DFW,57,0,0,272,161
20170309,ORD,31,0,0,56,-16
20170309,SFO,42,0,0,194,100
20170309,DEN,57,0,0,222,6
20170310,DFW,38,0,0,222,156
20170310,ORD,65,0,0,22,-49
20170310,SFO,39,0,0,194,111
20170310,DEN,31,0,0,183,-32
20170311,DFW,54,0,0,244,100
20170311,ORD,38,0,0,0,-77
20170311,SFO,56,0,0,183,100
20170311,DEN,28,5,0,89,0
20170312,DFW,42,0,0,128,61
20170312,ORD,31,13,10,22,-77
20170312,SFO,38,0,0,211,89
20170312,DEN,62,0,0,161,-5
20170313,DFW,55,3,0,189,67
20170313,ORD,47,61,99,-5,-27
20170313,SFO,18,0,0,250,89
20170313,DEN,33,0,0,139,-71
20170314,DFW,27,0,0,189,28
20170314,ORD,63,48,86,-21,-71
20170314,SFO,32,0,0,244,122
20170314,DEN,34,0,0,206,28
20170315,DFW,48,0,0,194,72
20170315,ORD,51,0,0,6,-88
20170315,SFO,46,0,0,167,111
20170315,DEN,62,0,0,250,33
20170316,DFW,67,0,0,239,122
20170316,ORD,29,0,0,56,-77
20170316,SFO,38,0,0,183,106
20170316,DEN,60,0,0,244,89
20170317,DFW,74,0,0,267,194
20170317,ORD,46,8,0,100,22
20170317,SFO,31,0,0,217,89
20170317,DEN,59,0,0,217,28
20170318,DFW,39,0,0,294,183
20170318,ORD,58,0,0,72,0
20170318,SFO,28,0,0,206,117
20170318,DEN,33,0,0,272,17
20170319,DFW,58,0,0,300,172
20170319,ORD,38,0,0,117,-16
20170319,SFO,29,0,0,172,122
20170319,DEN,49,0,0,267,89
20170320,DFW,78,0,0,333,194
20170320,ORD,37,33,0,122,28
20170320,SFO,50,132,0,167,128
20170320,DEN,49,0,0,250,72
20170321,DFW,60,0,0,306,172
20170321,ORD,55,0,0,122,6
20170321,SFO,51,71,0,183,139
20170321,DEN,50,0,0,211,11
20170322,DFW,55,0,0,300,183
20170322,ORD,53,0,0,28,-21
20170322,SFO,70,69,0,150,111
20170322,DEN,43,0,0,217,28
20170323,DFW,104,0,0,306,189
20170323,ORD,57,5,0,100,-16
20170323,SFO,49,0,0,161,100
20170323,DEN,86,20,0,250,28
20170324,DFW,80,81,0,267,150
20170324,ORD,70,0,0,278,56
20170324,SFO,34,191,0,144,117
20170324,DEN,86,114,0,117,-5
20170325,DFW,51,0,0,233,128
20170325,ORD,52,180,0,83,50
20170325,SFO,47,0,0,161,111
20170325,DEN,49,0,0,167,-21
20170326,DFW,67,0,0,300,106
20170326,ORD,34,76,0,167,83
20170326,SFO,43,5,0,172,111
20170326,DEN,41,0,0,122,17
20170327,DFW,43,0,0,228,150
20170327,ORD,33,0,0,111,56
20170327,SFO,73,0,0,161,106
20170327,DEN,40,0,0,178,-10
20170328,DFW,59,0,0,278,150
20170328,ORD,47,0,0,100,22
20170328,SFO,61,0,0,200,89
20170328,DEN,69,48,0,78,17
20170329,DFW,72,140,0,283,144
20170329,ORD,53,28,0,94,17
20170329,SFO,66,0,0,183,117
20170329,DEN,57,10,0,139,11
20170330,DFW,48,0,0,267,117
20170330,ORD,65,467,0,72,39
20170330,SFO,89,3,0,161,106
20170330,DEN,39,0,0,194,-5
20170331,DFW,47,0,0,300,122
20170331,ORD,65,5,0,67,22
20170331,SFO,83,0,0,200,128
20170331,DEN,64,30,0,106,0
20170401,DFW,56,0,0,250,150
20170401,ORD,26,0,0,150,11
20170401,SFO,42,0,0,256,117
20170401,DEN,28,8,0,50,-10
20170402,DFW,60,544,0,222,156
20170402,ORD,27,0,0,161,56
20170402,SFO,48,0,0,233,111
20170402,DEN,32,0,0,172,-5
20170403,DFW,25,0,0,267,106
20170403,ORD,38,48,0,122,78
20170403,SFO,64,0,0,200,94
20170403,DEN,52,20,0,144,11
20170404,DFW,68,0,0,300,144
20170404,ORD,39,5,0,133,61
20170404,SFO,48,0,0,222,89
20170404,DEN,44,51,3,56,-5
20170405,DFW,89,0,0,228,94
20170405,ORD,81,264,0,83,44
20170405,SFO,30,0,0,200,111
20170405,DEN,37,0,0,133,-21
20170406,DFW,20,0,0,256,83
20170406,ORD,76,74,0,106,33
20170406,SFO,68,257,0,183,100
20170406,DEN,51,0,0,189,-10
20170407,DFW,44,0,0,267,106
20170407,ORD,49,0,0,122,28
20170407,SFO,62,124,0,178,100
20170407,DEN,48,0,0,244,83
20170408,DFW,89,0,0,283,156
20170408,ORD,62,0,0,200,28
20170408,SFO,56,28,0,133,83
20170408,DEN,49,0,0,250,72
20170409,DFW,97,0,0,289,194
20170409,ORD,84,0,0,250,139
20170409,SFO,40,0,0,156,72
20170409,DEN,87,0,0,150,17
20170410,DFW,53,135,0,278,189
20170410,ORD,62,81,0,256,50
20170410,SFO,33,0,0,178,78
20170410,DEN,47,0,0,144,-43
20170411,DFW,42,51,0,250,161
20170411,ORD,42,0,0,122,50
20170411,SFO,46,13,0,194,117
20170411,DEN,48,0,0,211,-10
20170412,DFW,28,0,0,250,167
20170412,ORD,32,0,0,150,33
20170412,SFO,59,46,0,178,122
20170412,DEN,43,0,0,233,44
20170413,DFW,46,0,0,283,167
20170413,ORD,41,48,0,156,67
20170413,SFO,68,0,0,150,100
20170413,DEN,67,0,0,261,28
20170414,DFW,58,0,0,278,200
20170414,ORD,42,15,0,189,83
20170414,SFO,63,0,0,161,83
20170414,DEN,49,0,0,261,39
20170415,DFW,59,0,0,272,189
20170415,ORD,72,23,0,278,161
20170415,SFO,30,0,0,194,78
20170415,DEN,47,0,0,200,28
20170416,DFW,48,0,0,272,194
20170416,ORD,52,150,0,228,111
20170416,SFO,38,20,0,156,111
20170416,DEN,46,0,0,222,-5
20170417,DFW,41,114,0,244,178
20170417,ORD,31,0,0,206,67
20170417,SFO,17,43,0,167,122
20170417,DEN,36,0,0,250,44
20170418,DFW,34,0,0,278,167
20170418,ORD,51,0,0,244,50
20170418,SFO,36,3,0,194,111
20170418,DEN,59,0,0,256,44
20170419,DFW,58,0,0,294,183
20170419,ORD,43,3,0,211,72
20170419,SFO,34,25,0,194,94
20170419,DEN,61,0,0,228,78
20170420,DFW,56,0,0,294,211
20170420,ORD,67,0,0,228,89
20170420,SFO,53,0,0,183,122
20170420,DEN,64,28,0,178,0
20170421,DFW,69,0,0,294,167
20170421,ORD,56,0,0,117,67
20170421,SFO,38,0,0,233,106
20170421,DEN,67,13,0,89,28
20170422,DFW,80,0,0,178,122
20170422,ORD,38,0,0,156,33
20170422,SFO,50,0,0,183,106
20170422,DEN,35,25,0,139,17
20170423,DFW,45,0,0,239,94
20170423,ORD,26,0,0,222,28
20170423,SFO,93,0,0,178,117
20170423,DEN,56,0,0,244,44
20170424,DFW,53,0,0,256,94
20170424,ORD,34,0,0,228,44
20170424,SFO,72,0,0,167,117
20170424,DEN,57,0,0,194,56
20170425,DFW,91,0,0,300,172
20170425,ORD,54,0,0,261,111
20170425,SFO,75,0,0,178,111
20170425,DEN,55,15,0,144,-5
20170426,DFW,65,13,0,244,106
20170426,ORD,51,56,0,233,156
20170426,SFO,64,0,0,178,122
20170426,DEN,27,0,0,161,-32
20170427,DFW,52,0,0,250,78
20170427,ORD,71,36,0,167,50
20170427,SFO,82,0,0,183,111
20170427,DEN,45,3,0,122,0
20170428,DFW,64,0,0,311,189
20170428,ORD,34,0,0,156,44
20170428,SFO,70,0,0,200,94
20170428,DEN,68,30,0,122,-16
20170429,DFW,93,0,0,328,139
20170429,ORD,84,495,0,78,44
20170429,SFO,61,0,0,250,122
20170429,DEN,72,56,61,-5,-16
20170430,DFW,92,3,0,217,100
20170430,ORD,60,335,0,83,56
20170430,SFO,55,0,0,233,100
20170430,DEN,84,0,0,156,-21
20170501,DFW,35,0,0,294,94
20170501,ORD,66,23,0,139,72
20170501,SFO,47,0,0,289,122
20170501,DEN,34,0,0,178,33
20170502,DFW,55,0,0,311,144
20170502,ORD,66,3,0,106,50
20170502,SFO,55,0,0,294,139
20170502,DEN,41,25,0,172,28
20170503,DFW,78,5,0,278,150
20170503,ORD,27,0,0,133,17
20170503,SFO,43,0,0,306,117
20170503,DEN,45,25,0,133,11
20170504,DFW,75,0,0,250,128
20170504,ORD,50,0,0,122,61
20170504,SFO,72,0,0,189,111
20170504,DEN,43,0,0,217,0
20170505,DFW,38,0,0,272,122
20170505,ORD,60,0,0,161,50
20170505,SFO,113,0,0,172,106
20170505,DEN,40,0,0,261,56
20170506,DFW,24,0,0,311,122
20170506,ORD,56,28,0,144,67
20170506,SFO,91,0,0,172,100
20170506,DEN,56,0,0,300,89
20170507,DFW,38,0,0,311,150
20170507,ORD,38,0,0,150,22
20170507,SFO,57,0,0,211,100
20170507,DEN,54,0,0,267,100
20170508,DFW,56,0,0,294,178
20170508,ORD,31,5,0,139,11
20170508,SFO,45,0,0,211,100
20170508,DEN,56,117,0,233,94
20170509,DFW,51,0,0,278,194
20170509,ORD,30,33,0,161,56
20170509,SFO,48,0,0,239,106
20170509,DEN,36,3,0,200,106
20170510,DFW,71,0,0,278,222
20170510,ORD,34,221,0,194,67
20170510,SFO,55,0,0,200,117
20170510,DEN,58,56,0,122,83
20170511,DFW,55,5,0,317,206
20170511,ORD,41,0,0,183,94
20170511,SFO,47,0,0,206,111
20170511,DEN,51,0,0,172,67
20170512,DFW,72,0,0,278,167
20170512,ORD,27,0,0,228,72
20170512,SFO,93,0,0,178,106
20170512,DEN,62,0,0,256,56
20170513,DFW,25,0,0,289,144
20170513,ORD,39,0,0,278,83
20170513,SFO,84,0,0,178,94
20170513,DEN,46,0,0,294,89
20170514,DFW,43,0,0,328,156
20170514,ORD,35,0,0,217,106
20170514,SFO,75,0,0,167,94
20170514,DEN,51,0,0,244,67
20170515,DFW,64,0,0,322,206
20170515,ORD,40,5,0,278,100
20170515,SFO,83,0,0,172,100
20170515,DEN,49,0,0,289,100
20170516,DFW,91,0,0,294,211
20170516,ORD,65,0,0,306,161
20170516,SFO,82,0,0,172,111
20170516,DEN,53,25,0,222,61
20170517,DFW,73,30,0,328,206
20170517,ORD,90,94,0,289,167
20170517,SFO,75,0,0,189,100
20170517,DEN,57,130,0,228,44
20170518,DFW,83,0,0,344,250
20170518,ORD,85,0,0,256,89
20170518,SFO,47,0,0,244,94
20170518,DEN,65,287,0,56,6
20170519,DFW,84,0,0,317,222
20170519,ORD,72,58,0,100,61
20170519,SFO,47,0,0,267,111
20170519,DEN,64,23,0,39,6
20170520,DFW,44,15,0,278,194
20170520,ORD,47,86,0,178,89
20170520,SFO,47,0,0,306,111
20170520,DEN,35,0,0,167,11
20170521,DFW,43,20,0,278,172
20170521,ORD,57,13,0,183,106
20170521,SFO,59,0,0,250,117
20170521,DEN,39,69,0,194,17
20170522,DFW,32,46,0,278,167
20170522,ORD,57,3,0,228,89
20170522,SFO,58,0,0,211,106
20170522,DEN,48,36,0,194,61
20170523,DFW,50,13,0,256,167
20170523,ORD,30,84,0,167,128
20170523,SFO,66,0,0,206,111
20170523,DEN,50,0,0,172,50
20170524,DFW,50,0,0,283,144
20170524,ORD,63,43,0,167,117
20170524,SFO,41,0,0,206,117
20170524,DEN,49,0,0,289,22
20170525,DFW,76,0,0,339,156
20170525,ORD,39,0,0,206,111
20170525,SFO,73,0,0,183,128
20170525,DEN,63,36,0,261,83
20170526,DFW,80,0,0,356,239
20170526,ORD,34,135,0,217,111
20170526,SFO,52,0,0,183,122
20170526,DEN,49,13,0,233,72
